id,run_at,icao,forecast_date,high_f,low_f
1,2026-06-03T00:11:26Z,KATL,2026-06-02,82.5,63.3
2,2026-06-03T00:11:26Z,KATL,2026-06-03,78.0,56.6
3,2026-06-03T00:11:26Z,KATL,2026-06-04,83.9,57.1
4,2026-06-03T00:11:26Z,KATL,2026-06-05,86.1,64.6
5,2026-06-03T00:11:26Z,KATL,2026-06-06,89.1,67.2
6,2026-06-03T00:11:26Z,KATL,2026-06-07,86.6,70.4
7,2026-06-03T00:11:26Z,KATL,2026-06-08,92.4,72.0
8,2026-06-03T00:11:26Z,KAUS,2026-06-02,92.5,75.6
9,2026-06-03T00:11:26Z,KAUS,2026-06-03,89.4,72.1
10,2026-06-03T00:11:26Z,KAUS,2026-06-04,85.6,72.1
11,2026-06-03T00:11:26Z,KAUS,2026-06-05,85.6,70.7
12,2026-06-03T00:11:26Z,KAUS,2026-06-06,85.3,71.8
13,2026-06-03T00:11:26Z,KAUS,2026-06-07,89.8,72.0
14,2026-06-03T00:11:26Z,KAUS,2026-06-08,91.0,71.8
15,2026-06-03T00:11:26Z,KBOS,2026-06-02,74.3,44.5
16,2026-06-03T00:11:26Z,KBOS,2026-06-03,72.2,50.1
17,2026-06-03T00:11:26Z,KBOS,2026-06-04,81.9,53.3
18,2026-06-03T00:11:26Z,KBOS,2026-06-05,81.3,61.7
19,2026-06-03T00:11:26Z,KBOS,2026-06-06,85.1,66.8
20,2026-06-03T00:11:26Z,KBOS,2026-06-07,72.0,52.0
21,2026-06-03T00:11:26Z,KBOS,2026-06-08,57.9,52.5
29,2026-06-03T00:11:26Z,KDEN,2026-06-02,73.5,53.7
30,2026-06-03T00:11:26Z,KDEN,2026-06-03,87.9,60.2
31,2026-06-03T00:11:26Z,KDEN,2026-06-04,88.3,60.2
32,2026-06-03T00:11:26Z,KDEN,2026-06-05,82.9,55.3
33,2026-06-03T00:11:26Z,KDEN,2026-06-06,92.0,61.8
34,2026-06-03T00:11:26Z,KDEN,2026-06-07,92.2,61.6
35,2026-06-03T00:11:26Z,KDEN,2026-06-08,91.2,58.4
22,2026-06-03T00:11:26Z,KDFW,2026-06-02,94.9,73.3
23,2026-06-03T00:11:26Z,KDFW,2026-06-03,85.6,71.5
24,2026-06-03T00:11:26Z,KDFW,2026-06-04,88.4,71.3
25,2026-06-03T00:11:26Z,KDFW,2026-06-05,85.0,72.6
26,2026-06-03T00:11:26Z,KDFW,2026-06-06,89.9,75.5
27,2026-06-03T00:11:26Z,KDFW,2026-06-07,90.4,74.6
28,2026-06-03T00:11:26Z,KDFW,2026-06-08,94.5,76.4
36,2026-06-03T00:11:26Z,KIAH,2026-06-02,90.4,75.2
37,2026-06-03T00:11:26Z,KIAH,2026-06-03,87.9,72.4
38,2026-06-03T00:11:26Z,KIAH,2026-06-04,85.8,71.2
39,2026-06-03T00:11:26Z,KIAH,2026-06-05,89.0,72.4
40,2026-06-03T00:11:26Z,KIAH,2026-06-06,93.5,75.9
41,2026-06-03T00:11:26Z,KIAH,2026-06-07,94.3,77.3
42,2026-06-03T00:11:26Z,KIAH,2026-06-08,92.6,77.6
43,2026-06-03T00:11:26Z,KLAX,2026-06-02,68.8,58.1
44,2026-06-03T00:11:26Z,KLAX,2026-06-03,67.7,56.9
45,2026-06-03T00:11:26Z,KLAX,2026-06-04,76.4,57.0
46,2026-06-03T00:11:26Z,KLAX,2026-06-05,76.2,65.3
47,2026-06-03T00:11:26Z,KLAX,2026-06-06,71.9,64.0
48,2026-06-03T00:11:26Z,KLAX,2026-06-07,71.4,62.9
49,2026-06-03T00:11:26Z,KLAX,2026-06-08,72.3,63.2
50,2026-06-03T00:11:26Z,KMIA,2026-06-02,93.1,76.0
51,2026-06-03T00:11:26Z,KMIA,2026-06-03,82.9,73.7
52,2026-06-03T00:11:26Z,KMIA,2026-06-04,81.8,73.0
53,2026-06-03T00:11:26Z,KMIA,2026-06-05,82.4,78.2
54,2026-06-03T00:11:26Z,KMIA,2026-06-06,80.4,76.2
55,2026-06-03T00:11:26Z,KMIA,2026-06-07,86.9,76.4
56,2026-06-03T00:11:26Z,KMIA,2026-06-08,89.2,80.0
57,2026-06-03T00:11:26Z,KMSP,2026-06-02,82.9,57.4
58,2026-06-03T00:11:26Z,KMSP,2026-06-03,84.7,58.9
59,2026-06-03T00:11:26Z,KMSP,2026-06-04,78.7,64.6
60,2026-06-03T00:11:26Z,KMSP,2026-06-05,83.2,65.4
61,2026-06-03T00:11:26Z,KMSP,2026-06-06,80.1,58.5
62,2026-06-03T00:11:26Z,KMSP,2026-06-07,82.7,59.8
63,2026-06-03T00:11:26Z,KMSP,2026-06-08,79.6,66.6
