id,run_at,icao,forecast_date,high_f,low_f
1,2026-07-28T01:00:54Z,KATL,2026-07-27,91.2,75.9
2,2026-07-28T01:00:54Z,KATL,2026-07-28,97.1,74.2
3,2026-07-28T01:00:54Z,KATL,2026-07-29,92.2,79.1
4,2026-07-28T01:00:54Z,KATL,2026-07-30,95.8,75.8
5,2026-07-28T01:00:54Z,KATL,2026-07-31,93.8,73.6
6,2026-07-28T01:00:54Z,KATL,2026-08-01,83.2,71.7
7,2026-07-28T01:00:54Z,KATL,2026-08-02,83.2,71.1
8,2026-07-28T01:00:54Z,KAUS,2026-07-27,96.7,75.7
9,2026-07-28T01:00:54Z,KAUS,2026-07-28,98.4,76.5
10,2026-07-28T01:00:54Z,KAUS,2026-07-29,103.5,74.7
11,2026-07-28T01:00:54Z,KAUS,2026-07-30,103.8,74.1
12,2026-07-28T01:00:54Z,KAUS,2026-07-31,104.4,73.4
13,2026-07-28T01:00:54Z,KAUS,2026-08-01,108.7,77.7
14,2026-07-28T01:00:54Z,KAUS,2026-08-02,104.4,78.3
15,2026-07-28T01:00:54Z,KBOS,2026-07-27,78.5,54.5
16,2026-07-28T01:00:54Z,KBOS,2026-07-28,83.5,65.4
17,2026-07-28T01:00:54Z,KBOS,2026-07-29,70.9,65.7
18,2026-07-28T01:00:54Z,KBOS,2026-07-30,66.0,63.3
19,2026-07-28T01:00:54Z,KBOS,2026-07-31,66.8,62.8
20,2026-07-28T01:00:54Z,KBOS,2026-08-01,69.3,60.5
21,2026-07-28T01:00:54Z,KBOS,2026-08-02,76.9,63.5
127,2026-07-28T01:00:54Z,KDCA,2026-07-27,90.6,71.3
128,2026-07-28T01:00:54Z,KDCA,2026-07-28,93.0,73.6
129,2026-07-28T01:00:54Z,KDCA,2026-07-29,87.4,69.3
130,2026-07-28T01:00:54Z,KDCA,2026-07-30,83.8,68.7
131,2026-07-28T01:00:54Z,KDCA,2026-07-31,88.6,69.0
132,2026-07-28T01:00:54Z,KDCA,2026-08-01,87.9,69.9
133,2026-07-28T01:00:54Z,KDCA,2026-08-02,75.1,71.9
36,2026-07-28T01:00:54Z,KDEN,2026-07-27,92.1,75.2
37,2026-07-28T01:00:54Z,KDEN,2026-07-28,90.4,66.3
38,2026-07-28T01:00:54Z,KDEN,2026-07-29,95.3,62.2
39,2026-07-28T01:00:54Z,KDEN,2026-07-30,95.1,66.1
40,2026-07-28T01:00:54Z,KDEN,2026-07-31,97.1,65.4
41,2026-07-28T01:00:54Z,KDEN,2026-08-01,99.6,69.4
42,2026-07-28T01:00:54Z,KDEN,2026-08-02,103.9,70.6
29,2026-07-28T01:00:54Z,KDFW,2026-07-27,99.6,79.7
30,2026-07-28T01:00:54Z,KDFW,2026-07-28,102.3,78.7
31,2026-07-28T01:00:54Z,KDFW,2026-07-29,105.2,79.4
32,2026-07-28T01:00:54Z,KDFW,2026-07-30,105.7,86.4
33,2026-07-28T01:00:54Z,KDFW,2026-07-31,108.6,86.4
34,2026-07-28T01:00:54Z,KDFW,2026-08-01,100.7,84.6
35,2026-07-28T01:00:54Z,KDFW,2026-08-02,99.6,78.3
43,2026-07-28T01:00:54Z,KIAH,2026-07-27,96.5,77.5
44,2026-07-28T01:00:54Z,KIAH,2026-07-28,97.4,76.4
45,2026-07-28T01:00:54Z,KIAH,2026-07-29,103.0,75.5
46,2026-07-28T01:00:54Z,KIAH,2026-07-30,101.6,80.9
47,2026-07-28T01:00:54Z,KIAH,2026-07-31,102.0,80.5
48,2026-07-28T01:00:54Z,KIAH,2026-08-01,103.9,81.8
49,2026-07-28T01:00:54Z,KIAH,2026-08-02,102.0,81.3
50,2026-07-28T01:00:54Z,KLAS,2026-07-27,108.9,90.1
51,2026-07-28T01:00:54Z,KLAS,2026-07-28,110.8,84.3
52,2026-07-28T01:00:54Z,KLAS,2026-07-29,107.3,80.9
53,2026-07-28T01:00:54Z,KLAS,2026-07-30,110.4,94.3
54,2026-07-28T01:00:54Z,KLAS,2026-07-31,112.3,96.7
55,2026-07-28T01:00:54Z,KLAS,2026-08-01,114.9,99.6
56,2026-07-28T01:00:54Z,KLAS,2026-08-02,113.7,97.4
22,2026-07-28T01:00:54Z,KMDW,2026-07-27,83.3,70.8
23,2026-07-28T01:00:54Z,KMDW,2026-07-28,73.7,64.0
24,2026-07-28T01:00:54Z,KMDW,2026-07-29,86.9,60.8
25,2026-07-28T01:00:54Z,KMDW,2026-07-30,88.7,70.0
26,2026-07-28T01:00:54Z,KMDW,2026-07-31,77.0,67.5
27,2026-07-28T01:00:54Z,KMDW,2026-08-01,85.5,66.0
28,2026-07-28T01:00:54Z,KMDW,2026-08-02,83.9,69.6
57,2026-07-28T01:00:54Z,KMIA,2026-07-27,91.1,75.9
