id,run_at,icao,forecast_date,high_f,low_f
1,2026-05-26T21:11:13Z,KATL,2026-05-26,80.2,68.8
2,2026-05-26T21:11:13Z,KATL,2026-05-27,80.8,70.2
3,2026-05-26T21:11:13Z,KATL,2026-05-28,88.4,69.1
4,2026-05-26T21:11:13Z,KATL,2026-05-29,77.1,66.8
5,2026-05-26T21:11:13Z,KATL,2026-05-30,80.8,64.6
6,2026-05-26T21:11:13Z,KATL,2026-05-31,78.0,61.8
7,2026-05-26T21:11:13Z,KATL,2026-06-01,68.1,59.2
8,2026-05-26T21:11:13Z,KAUS,2026-05-26,86.8,66.1
9,2026-05-26T21:11:13Z,KAUS,2026-05-27,86.8,66.9
10,2026-05-26T21:11:13Z,KAUS,2026-05-28,88.7,71.5
11,2026-05-26T21:11:13Z,KAUS,2026-05-29,92.5,70.9
12,2026-05-26T21:11:13Z,KAUS,2026-05-30,91.9,69.8
13,2026-05-26T21:11:13Z,KAUS,2026-05-31,93.3,72.3
14,2026-05-26T21:11:13Z,KAUS,2026-06-01,93.4,72.3
15,2026-05-26T21:11:13Z,KBOS,2026-05-26,84.4,54.2
16,2026-05-26T21:11:13Z,KBOS,2026-05-27,88.0,60.3
17,2026-05-26T21:11:13Z,KBOS,2026-05-28,69.5,55.8
18,2026-05-26T21:11:13Z,KBOS,2026-05-29,63.5,50.6
19,2026-05-26T21:11:13Z,KBOS,2026-05-30,51.6,42.5
20,2026-05-26T21:11:13Z,KBOS,2026-05-31,63.8,44.1
21,2026-05-26T21:11:13Z,KBOS,2026-06-01,57.2,49.5
92,2026-05-26T21:11:13Z,KDCA,2026-05-26,75.0,64.6
93,2026-05-26T21:11:13Z,KDCA,2026-05-27,80.4,67.1
94,2026-05-26T21:11:13Z,KDCA,2026-05-28,78.6,63.6
95,2026-05-26T21:11:13Z,KDCA,2026-05-29,80.2,56.1
96,2026-05-26T21:11:13Z,KDCA,2026-05-30,69.9,58.6
97,2026-05-26T21:11:13Z,KDCA,2026-05-31,72.9,51.6
98,2026-05-26T21:11:13Z,KDCA,2026-06-01,76.5,54.5
36,2026-05-26T21:11:13Z,KDEN,2026-05-26,78.3,55.8
37,2026-05-26T21:11:13Z,KDEN,2026-05-27,70.2,56.4
38,2026-05-26T21:11:13Z,KDEN,2026-05-28,74.4,49.9
39,2026-05-26T21:11:13Z,KDEN,2026-05-29,84.7,55.9
40,2026-05-26T21:11:13Z,KDEN,2026-05-30,80.0,52.4
41,2026-05-26T21:11:13Z,KDEN,2026-05-31,80.6,50.8
42,2026-05-26T21:11:13Z,KDEN,2026-06-01,87.9,54.8
29,2026-05-26T21:11:13Z,KDFW,2026-05-26,84.9,67.7
30,2026-05-26T21:11:13Z,KDFW,2026-05-27,82.1,67.5
31,2026-05-26T21:11:13Z,KDFW,2026-05-28,92.9,68.5
32,2026-05-26T21:11:13Z,KDFW,2026-05-29,93.8,74.9
33,2026-05-26T21:11:13Z,KDFW,2026-05-30,95.1,76.9
34,2026-05-26T21:11:13Z,KDFW,2026-05-31,93.2,69.3
35,2026-05-26T21:11:13Z,KDFW,2026-06-01,91.7,73.7
22,2026-05-26T21:11:13Z,KMDW,2026-05-26,83.2,60.2
23,2026-05-26T21:11:13Z,KMDW,2026-05-27,88.9,61.2
24,2026-05-26T21:11:13Z,KMDW,2026-05-28,71.3,57.2
25,2026-05-26T21:11:13Z,KMDW,2026-05-29,81.9,54.7
26,2026-05-26T21:11:13Z,KMDW,2026-05-30,71.6,58.5
27,2026-05-26T21:11:13Z,KMDW,2026-05-31,72.5,54.0
28,2026-05-26T21:11:13Z,KMDW,2026-06-01,77.7,55.8
43,2026-05-26T21:11:13Z,KMIA,2026-05-26,86.8,77.4
44,2026-05-26T21:11:13Z,KMIA,2026-05-27,88.0,75.4
45,2026-05-26T21:11:13Z,KMIA,2026-05-28,86.9,75.5
46,2026-05-26T21:11:13Z,KMIA,2026-05-29,91.7,78.9
47,2026-05-26T21:11:13Z,KMIA,2026-05-30,91.7,80.0
48,2026-05-26T21:11:13Z,KMIA,2026-05-31,96.8,79.8
49,2026-05-26T21:11:13Z,KMIA,2026-06-01,88.7,80.4
50,2026-05-26T21:11:13Z,KMSP,2026-05-26,87.6,68.3
51,2026-05-26T21:11:13Z,KMSP,2026-05-27,91.4,64.2
52,2026-05-26T21:11:13Z,KMSP,2026-05-28,78.2,61.3
53,2026-05-26T21:11:13Z,KMSP,2026-05-29,87.7,62.9
54,2026-05-26T21:11:13Z,KMSP,2026-05-30,81.8,64.8
55,2026-05-26T21:11:13Z,KMSP,2026-05-31,77.6,59.4
56,2026-05-26T21:11:13Z,KMSP,2026-06-01,85.7,62.9
57,2026-05-26T21:11:13Z,KMSY,2026-05-26,83.9,69.2
58,2026-05-26T21:11:13Z,KMSY,2026-05-27,82.3,74.1
59,2026-05-26T21:11:13Z,KMSY,2026-05-28,84.5,73.4
