id,run_at,icao,forecast_date,high_f,low_f
1,2026-09-21T00:27:15Z,KATL,2026-09-20,88.8,70.5
2,2026-09-21T00:27:15Z,KATL,2026-09-21,92.3,70.0
3,2026-09-21T00:27:15Z,KATL,2026-09-22,91.6,70.5
4,2026-09-21T00:27:15Z,KATL,2026-09-23,77.1,69.0
5,2026-09-21T00:27:15Z,KATL,2026-09-24,75.8,64.1
6,2026-09-21T00:27:15Z,KATL,2026-09-25,81.0,60.7
7,2026-09-21T00:27:15Z,KATL,2026-09-26,83.9,65.9
8,2026-09-21T00:27:15Z,KAUS,2026-09-20,96.8,74.5
9,2026-09-21T00:27:15Z,KAUS,2026-09-21,97.6,77.3
10,2026-09-21T00:27:15Z,KAUS,2026-09-22,99.1,75.7
11,2026-09-21T00:27:15Z,KAUS,2026-09-23,97.7,75.9
12,2026-09-21T00:27:15Z,KAUS,2026-09-24,96.4,75.9
13,2026-09-21T00:27:15Z,KAUS,2026-09-25,99.7,75.2
14,2026-09-21T00:27:15Z,KAUS,2026-09-26,100.0,72.3
15,2026-09-21T00:27:15Z,KBOS,2026-09-20,61.4,51.6
16,2026-09-21T00:27:15Z,KBOS,2026-09-21,65.0,56.1
17,2026-09-21T00:27:15Z,KBOS,2026-09-22,59.2,53.0
18,2026-09-21T00:27:15Z,KBOS,2026-09-23,59.6,56.7
19,2026-09-21T00:27:15Z,KBOS,2026-09-24,60.3,56.0
20,2026-09-21T00:27:15Z,KBOS,2026-09-25,62.9,56.7
21,2026-09-21T00:27:15Z,KBOS,2026-09-26,58.7,54.7
113,2026-09-21T00:27:15Z,KDCA,2026-09-20,82.7,72.2
114,2026-09-21T00:27:15Z,KDCA,2026-09-21,75.2,63.6
115,2026-09-21T00:27:15Z,KDCA,2026-09-22,64.9,58.6
116,2026-09-21T00:27:15Z,KDCA,2026-09-23,64.2,55.9
117,2026-09-21T00:27:15Z,KDCA,2026-09-24,64.5,57.7
118,2026-09-21T00:27:15Z,KDCA,2026-09-25,72.3,53.0
119,2026-09-21T00:27:15Z,KDCA,2026-09-26,74.6,55.9
