id,run_at,icao,forecast_date,high_f,low_f
1,2026-09-24T00:49:38Z,KATL,2026-09-23,80.4,66.9
2,2026-09-24T00:49:38Z,KATL,2026-09-24,69.8,62.5
3,2026-09-24T00:49:38Z,KATL,2026-09-25,80.5,57.0
4,2026-09-24T00:49:38Z,KATL,2026-09-26,79.6,61.8
5,2026-09-24T00:49:38Z,KATL,2026-09-27,74.5,66.6
6,2026-09-24T00:49:38Z,KATL,2026-09-28,85.2,61.6
7,2026-09-24T00:49:38Z,KATL,2026-09-29,86.9,65.5
8,2026-09-24T00:49:38Z,KAUS,2026-09-23,95.0,76.7
9,2026-09-24T00:49:38Z,KAUS,2026-09-24,93.7,76.9
10,2026-09-24T00:49:38Z,KAUS,2026-09-25,99.3,74.8
11,2026-09-24T00:49:38Z,KAUS,2026-09-26,97.9,74.3
12,2026-09-24T00:49:38Z,KAUS,2026-09-27,99.3,74.1
13,2026-09-24T00:49:38Z,KAUS,2026-09-28,96.4,74.1
14,2026-09-24T00:49:38Z,KAUS,2026-09-29,93.7,71.1
99,2026-09-24T00:49:38Z,KDCA,2026-09-23,64.9,54.9
100,2026-09-24T00:49:38Z,KDCA,2026-09-24,62.7,52.5
101,2026-09-24T00:49:38Z,KDCA,2026-09-25,74.6,48.5
102,2026-09-24T00:49:38Z,KDCA,2026-09-26,76.6,56.1
103,2026-09-24T00:49:38Z,KDCA,2026-09-27,73.0,57.9
104,2026-09-24T00:49:38Z,KDCA,2026-09-28,73.3,61.3
105,2026-09-24T00:49:38Z,KDCA,2026-09-29,80.4,60.2
22,2026-09-24T00:49:38Z,KDEN,2026-09-23,73.1,56.7
23,2026-09-24T00:49:38Z,KDEN,2026-09-24,74.4,56.4
24,2026-09-24T00:49:38Z,KDEN,2026-09-25,75.8,55.8
25,2026-09-24T00:49:38Z,KDEN,2026-09-26,81.2,59.5
26,2026-09-24T00:49:38Z,KDEN,2026-09-27,81.2,60.7
27,2026-09-24T00:49:38Z,KDEN,2026-09-28,76.9,56.6
28,2026-09-24T00:49:38Z,KDEN,2026-09-29,66.1,51.0
15,2026-09-24T00:49:38Z,KDFW,2026-09-23,97.3,77.1
16,2026-09-24T00:49:38Z,KDFW,2026-09-24,94.4,74.5
17,2026-09-24T00:49:38Z,KDFW,2026-09-25,93.1,70.8
18,2026-09-24T00:49:38Z,KDFW,2026-09-26,92.9,80.1
19,2026-09-24T00:49:38Z,KDFW,2026-09-27,98.7,79.6
20,2026-09-24T00:49:38Z,KDFW,2026-09-28,98.5,79.1
21,2026-09-24T00:49:38Z,KDFW,2026-09-29,92.1,78.3
29,2026-09-24T00:49:38Z,KIAH,2026-09-23,96.9,77.2
30,2026-09-24T00:49:38Z,KIAH,2026-09-24,95.7,78.5
31,2026-09-24T00:49:38Z,KIAH,2026-09-25,95.3,71.5
32,2026-09-24T00:49:38Z,KIAH,2026-09-26,95.5,79.1
33,2026-09-24T00:49:38Z,KIAH,2026-09-27,91.5,80.0
34,2026-09-24T00:49:38Z,KIAH,2026-09-28,93.6,78.4
35,2026-09-24T00:49:38Z,KIAH,2026-09-29,93.1,78.2
36,2026-09-24T00:49:38Z,KLAX,2026-09-23,77.5,62.1
37,2026-09-24T00:49:38Z,KLAX,2026-09-24,74.3,61.8
38,2026-09-24T00:49:38Z,KLAX,2026-09-25,80.0,65.3
39,2026-09-24T00:49:38Z,KLAX,2026-09-26,83.8,73.0
40,2026-09-24T00:49:38Z,KLAX,2026-09-27,81.5,71.4
41,2026-09-24T00:49:38Z,KLAX,2026-09-28,78.8,70.3
42,2026-09-24T00:49:38Z,KLAX,2026-09-29,87.9,73.2
43,2026-09-24T00:49:38Z,KMIA,2026-09-23,82.2,75.2
44,2026-09-24T00:49:38Z,KMIA,2026-09-24,85.7,75.1
45,2026-09-24T00:49:38Z,KMIA,2026-09-25,91.9,74.4
46,2026-09-24T00:49:38Z,KMIA,2026-09-26,90.5,78.4
47,2026-09-24T00:49:38Z,KMIA,2026-09-27,88.1,80.2
48,2026-09-24T00:49:38Z,KMIA,2026-09-28,86.3,80.2
49,2026-09-24T00:49:38Z,KMIA,2026-09-29,87.8,80.7
50,2026-09-24T00:49:38Z,KMSY,2026-09-23,90.1,76.1
51,2026-09-24T00:49:38Z,KMSY,2026-09-24,89.9,75.2
52,2026-09-24T00:49:38Z,KMSY,2026-09-25,86.7,71.6
53,2026-09-24T00:49:38Z,KMSY,2026-09-26,86.0,69.0
54,2026-09-24T00:49:38Z,KMSY,2026-09-27,87.0,70.3
55,2026-09-24T00:49:38Z,KMSY,2026-09-28,89.9,71.4
56,2026-09-24T00:49:38Z,KMSY,2026-09-29,91.5,70.8
57,2026-09-24T00:49:38Z,KNYC,2026-09-23,68.8,53.8
58,2026-09-24T00:49:38Z,KNYC,2026-09-24,65.7,50.5
59,2026-09-24T00:49:38Z,KNYC,2026-09-25,74.0,51.8
60,2026-09-24T00:49:38Z,KNYC,2026-09-26,74.0,56.7
61,2026-09-24T00:49:38Z,KNYC,2026-09-27,59.0,55.1
62,2026-09-24T00:49:38Z,KNYC,2026-09-28,68.4,56.7
63,2026-09-24T00:49:38Z,KNYC,2026-09-29,77.5,61.2
64,2026-09-24T00:49:38Z,KPHL,2026-09-23,69.1,55.8
65,2026-09-24T00:49:38Z,KPHL,2026-09-24,64.2,54.4
66,2026-09-24T00:49:38Z,KPHL,2026-09-25,74.0,51.5
67,2026-09-24T00:49:38Z,KPHL,2026-09-26,76.7,57.2
68,2026-09-24T00:49:38Z,KPHL,2026-09-27,63.2,56.7
69,2026-09-24T00:49:38Z,KPHL,2026-09-28,67.7,60.5
70,2026-09-24T00:49:38Z,KPHL,2026-09-29,76.9,61.0
71,2026-09-24T00:49:38Z,KPHX,2026-09-23,97.1,80.1
72,2026-09-24T00:49:38Z,KPHX,2026-09-24,99.9,73.0
73,2026-09-24T00:49:38Z,KPHX,2026-09-25,97.0,74.2
74,2026-09-24T00:49:38Z,KPHX,2026-09-26,99.5,86.9
75,2026-09-24T00:49:38Z,KPHX,2026-09-27,93.2,81.7
76,2026-09-24T00:49:38Z,KPHX,2026-09-28,85.8,73.2
77,2026-09-24T00:49:38Z,KPHX,2026-09-29,85.4,73.8
78,2026-09-24T00:49:38Z,KSAT,2026-09-23,96.8,72.6
79,2026-09-24T00:49:38Z,KSAT,2026-09-24,92.2,74.8
80,2026-09-24T00:49:38Z,KSAT,2026-09-25,96.8,71.5
81,2026-09-24T00:49:38Z,KSAT,2026-09-26,95.4,76.1
82,2026-09-24T00:49:38Z,KSAT,2026-09-27,97.0,76.1
83,2026-09-24T00:49:38Z,KSAT,2026-09-28,95.9,75.6
84,2026-09-24T00:49:38Z,KSAT,2026-09-29,97.2,74.8
92,2026-09-24T00:49:38Z,KSEA,2026-09-23,65.6,51.4
93,2026-09-24T00:49:38Z,KSEA,2026-09-24,60.7,49.6
94,2026-09-24T00:49:38Z,KSEA,2026-09-25,60.2,49.8
95,2026-09-24T00:49:38Z,KSEA,2026-09-26,64.0,46.4
96,2026-09-24T00:49:38Z,KSEA,2026-09-27,64.4,47.6
97,2026-09-24T00:49:38Z,KSEA,2026-09-28,66.7,47.1
98,2026-09-24T00:49:38Z,KSEA,2026-09-29,67.3,52.0
85,2026-09-24T00:49:38Z,KSFO,2026-09-23,80.4,52.6
86,2026-09-24T00:49:38Z,KSFO,2026-09-24,78.5,56.0
87,2026-09-24T00:49:38Z,KSFO,2026-09-25,67.1,58.5
88,2026-09-24T00:49:38Z,KSFO,2026-09-26,68.5,55.7
89,2026-09-24T00:49:38Z,KSFO,2026-09-27,63.5,57.2
90,2026-09-24T00:49:38Z,KSFO,2026-09-28,71.9,56.1
91,2026-09-24T00:49:38Z,KSFO,2026-09-29,80.0,60.8
