id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-06-28T01:19:29Z,KATL,2026-06-27,high,30,90.47,1.43,88.56,90.6,92.11,87.6,93.0
2,2026-06-28T01:19:29Z,KATL,2026-06-27,low,30,73.28,0.27,72.98,73.25,73.6,72.7,73.9
3,2026-06-28T01:19:29Z,KATL,2026-06-28,high,30,90.17,2.75,86.55,90.4,92.8,82.4,95.3
4,2026-06-28T01:19:29Z,KATL,2026-06-28,low,30,74.34,0.54,73.78,74.2,75.02,73.4,75.6
5,2026-06-28T01:19:29Z,KATL,2026-06-29,high,30,95.33,1.82,92.67,95.3,97.73,91.7,99.1
6,2026-06-28T01:19:29Z,KATL,2026-06-29,low,30,75.3,1.03,73.88,75.5,76.62,73.1,76.8
7,2026-06-28T01:19:29Z,KAUS,2026-06-27,high,30,97.45,1.69,95.39,97.4,99.58,93.8,100.9
8,2026-06-28T01:19:29Z,KAUS,2026-06-27,low,30,76.22,0.58,75.69,76.1,76.94,74.8,77.6
9,2026-06-28T01:19:29Z,KAUS,2026-06-28,high,30,99.36,2.65,95.47,99.65,102.73,93.9,103.2
10,2026-06-28T01:19:29Z,KAUS,2026-06-28,low,30,76.02,0.41,75.59,76.0,76.41,75.1,77.0
11,2026-06-28T01:19:29Z,KAUS,2026-06-29,high,30,100.53,2.8,96.76,101.2,103.73,93.1,105.3
12,2026-06-28T01:19:29Z,KAUS,2026-06-29,low,30,76.46,0.72,75.48,76.55,77.3,75.1,77.8
13,2026-06-28T01:19:29Z,KBOS,2026-06-27,high,30,76.34,1.12,74.8,76.2,77.82,74.3,78.1
14,2026-06-28T01:19:29Z,KBOS,2026-06-27,low,30,64.09,0.41,63.6,64.1,64.51,63.1,64.8
15,2026-06-28T01:19:29Z,KBOS,2026-06-28,high,30,79.14,1.54,77.8,79.35,80.75,73.9,81.4
16,2026-06-28T01:19:29Z,KBOS,2026-06-28,low,30,63.06,0.72,62.19,63.0,63.84,61.9,64.9
17,2026-06-28T01:19:29Z,KBOS,2026-06-29,high,30,78.25,2.24,75.57,78.1,81.34,74.1,82.9
18,2026-06-28T01:19:29Z,KBOS,2026-06-29,low,30,64.84,0.87,63.85,64.8,65.92,62.8,66.8
103,2026-06-28T01:19:29Z,KDCA,2026-06-27,high,30,78.62,2.12,76.19,78.15,81.2,75.3,83.4
104,2026-06-28T01:19:29Z,KDCA,2026-06-27,low,30,69.93,0.49,69.3,69.9,70.53,68.9,70.9
105,2026-06-28T01:19:29Z,KDCA,2026-06-28,high,30,82.97,2.7,80.05,83.1,85.74,74.3,87.6
106,2026-06-28T01:19:29Z,KDCA,2026-06-28,low,30,68.99,0.81,68.0,69.05,69.9,66.7,70.6
107,2026-06-28T01:19:29Z,KDCA,2026-06-29,high,30,86.53,1.87,84.29,86.4,88.62,83.0,91.3
108,2026-06-28T01:19:29Z,KDCA,2026-06-29,low,30,70.07,1.02,68.75,70.05,71.32,68.0,71.8
25,2026-06-28T01:19:29Z,KDEN,2026-06-27,high,30,94.08,1.11,92.38,94.15,95.31,91.9,96.8
26,2026-06-28T01:19:29Z,KDEN,2026-06-27,low,30,65.92,0.52,65.39,65.85,66.51,64.8,67.3
27,2026-06-28T01:19:29Z,KDEN,2026-06-28,high,30,95.06,2.55,92.07,95.4,97.58,87.5,99.9
28,2026-06-28T01:19:29Z,KDEN,2026-06-28,low,30,62.41,1.91,59.58,62.25,65.33,58.4,65.9
29,2026-06-28T01:19:29Z,KDEN,2026-06-29,high,30,92.39,2.81,89.03,92.35,95.91,87.3,97.8
30,2026-06-28T01:19:29Z,KDEN,2026-06-29,low,30,61.35,2.54,57.56,62.15,64.2,56.6,65.3
19,2026-06-28T01:19:29Z,KDFW,2026-06-27,high,30,98.11,1.82,95.07,98.2,100.34,94.4,101.6
20,2026-06-28T01:19:29Z,KDFW,2026-06-27,low,30,79.01,0.33,78.6,79.05,79.32,78.4,79.9
21,2026-06-28T01:19:29Z,KDFW,2026-06-28,high,30,100.16,2.19,97.09,100.0,103.13,95.6,103.7
22,2026-06-28T01:19:29Z,KDFW,2026-06-28,low,30,79.02,0.4,78.49,79.1,79.5,78.0,79.8
23,2026-06-28T01:19:29Z,KDFW,2026-06-29,high,30,101.01,3.01,96.6,101.8,104.03,93.6,105.8
24,2026-06-28T01:19:29Z,KDFW,2026-06-29,low,30,79.42,0.79,78.29,79.5,80.33,78.1,81.4
31,2026-06-28T01:19:29Z,KIAH,2026-06-27,high,30,96.08,0.94,94.89,96.0,97.51,94.1,98.0
32,2026-06-28T01:19:29Z,KIAH,2026-06-27,low,30,79.18,0.17,79.0,79.2,79.4,78.8,79.5
33,2026-06-28T01:19:29Z,KIAH,2026-06-28,high,30,97.11,1.57,94.8,97.25,99.1,94.1,99.4
34,2026-06-28T01:19:29Z,KIAH,2026-06-28,low,30,80.19,0.28,79.8,80.2,80.51,79.5,80.8
35,2026-06-28T01:19:29Z,KIAH,2026-06-29,high,30,96.13,1.93,93.48,96.45,98.11,91.4,99.6
36,2026-06-28T01:19:29Z,KIAH,2026-06-29,low,30,80.2,0.67,79.36,80.35,80.91,78.6,81.6
37,2026-06-28T01:19:29Z,KLAS,2026-06-27,high,30,92.61,1.98,89.85,92.9,95.25,88.5,96.3
38,2026-06-28T01:19:29Z,KLAS,2026-06-27,low,30,71.91,0.49,71.38,72.0,72.43,70.7,72.8
39,2026-06-28T01:19:29Z,KLAS,2026-06-28,high,30,88.42,1.86,86.16,88.6,90.37,84.7,92.8
40,2026-06-28T01:19:29Z,KLAS,2026-06-28,low,30,65.79,1.23,64.06,66.0,67.21,63.3,68.2
41,2026-06-28T01:19:29Z,KLAS,2026-06-29,high,30,90.71,2.19,88.37,89.75,93.62,87.7,95.6
42,2026-06-28T01:19:29Z,KLAS,2026-06-29,low,30,67.65,1.69,65.49,67.8,69.63,62.4,70.9
43,2026-06-28T01:19:29Z,KLAX,2026-06-27,high,30,71.27,0.67,70.5,71.2,71.9,69.9,73.2
44,2026-06-28T01:19:29Z,KLAX,2026-06-27,low,30,62.19,0.22,61.9,62.2,62.5,61.8,62.5
45,2026-06-28T01:19:29Z,KLAX,2026-06-28,high,30,69.96,1.22,68.09,70.0,71.43,67.8,71.9
46,2026-06-28T01:19:29Z,KLAX,2026-06-28,low,30,61.84,0.52,61.29,61.85,62.5,60.3,62.9
47,2026-06-28T01:19:29Z,KLAX,2026-06-29,high,30,70.59,1.57,68.94,70.75,72.65,66.3,73.6
48,2026-06-28T01:19:29Z,KLAX,2026-06-29,low,30,63.01,0.52,62.39,63.1,63.61,61.8,63.8
49,2026-06-28T01:19:29Z,KMIA,2026-06-27,high,30,89.81,0.38,89.3,89.85,90.3,89.0,90.6
50,2026-06-28T01:19:29Z,KMIA,2026-06-27,low,30,83.52,0.21,83.19,83.6,83.8,83.1,83.8
51,2026-06-28T01:19:29Z,KMIA,2026-06-28,high,30,88.28,0.55,87.59,88.3,88.82,87.0,89.6
52,2026-06-28T01:19:29Z,KMIA,2026-06-28,low,30,83.22,0.42,82.68,83.2,83.71,82.3,84.0
53,2026-06-28T01:19:29Z,KMIA,2026-06-29,high,30,89.21,0.94,87.99,89.5,90.1,86.8,90.6
54,2026-06-28T01:19:29Z,KMIA,2026-06-29,low,30,82.01,0.41,81.39,82.0,82.34,81.2,83.0
55,2026-06-28T01:19:29Z,KMSY,2026-06-27,high,30,91.73,1.03,90.38,91.95,92.82,89.3,93.6
56,2026-06-28T01:19:29Z,KMSY,2026-06-27,low,30,75.35,0.44,74.79,75.3,75.9,74.6,76.3
57,2026-06-28T01:19:29Z,KMSY,2026-06-28,high,30,95.67,1.17,94.36,95.9,96.82,92.2,97.4
58,2026-06-28T01:19:29Z,KMSY,2026-06-28,low,30,74.36,0.46,73.8,74.3,74.9,73.5,75.5
59,2026-06-28T01:19:29Z,KMSY,2026-06-29,high,30,95.8,1.54,93.47,95.95,97.6,92.4,97.7
60,2026-06-28T01:19:29Z,KMSY,2026-06-29,low,30,74.3,0.39,73.7,74.35,74.8,73.3,74.9
61,2026-06-28T01:19:29Z,KNYC,2026-06-27,high,30,75.17,1.04,74.3,74.8,76.82,74.2,78.8
62,2026-06-28T01:19:29Z,KNYC,2026-06-27,low,30,69.26,1.22,67.86,69.25,70.72,67.0,72.2
63,2026-06-28T01:19:29Z,KNYC,2026-06-28,high,30,82.76,2.98,79.19,82.8,86.22,76.2,88.2
64,2026-06-28T01:19:29Z,KNYC,2026-06-28,low,30,68.33,0.84,67.0,68.35,69.33,66.8,69.8
65,2026-06-28T01:19:29Z,KNYC,2026-06-29,high,30,86.51,2.09,83.3,86.95,89.11,82.5,89.9
66,2026-06-28T01:19:29Z,KNYC,2026-06-29,low,30,70.11,1.13,68.7,70.45,71.3,67.7,72.5
67,2026-06-28T01:19:29Z,KOKC,2026-06-27,high,30,98.4,1.34,96.45,98.4,100.12,95.8,100.7
68,2026-06-28T01:19:29Z,KOKC,2026-06-27,low,30,74.91,0.55,74.09,74.9,75.61,73.8,76.0
69,2026-06-28T01:19:29Z,KOKC,2026-06-28,high,30,99.57,2.05,97.39,99.4,102.41,94.7,102.8
70,2026-06-28T01:19:29Z,KOKC,2026-06-28,low,30,80.7,1.27,79.14,80.7,82.13,78.5,83.6
71,2026-06-28T01:19:29Z,KOKC,2026-06-29,high,30,99.4,2.61,95.29,100.05,102.33,93.6,103.8
72,2026-06-28T01:19:29Z,KOKC,2026-06-29,low,30,79.41,1.43,77.6,79.3,81.23,77.3,82.1
73,2026-06-28T01:19:29Z,KPHL,2026-06-27,high,30,74.93,2.41,72.2,74.2,78.42,71.9,80.3
74,2026-06-28T01:19:29Z,KPHL,2026-06-27,low,30,67.57,0.97,66.59,67.4,68.81,65.5,69.5
75,2026-06-28T01:19:29Z,KPHL,2026-06-28,high,30,82.84,2.54,80.07,82.55,86.31,78.0,89.7
76,2026-06-28T01:19:29Z,KPHL,2026-06-28,low,30,66.12,1.03,64.88,65.9,67.61,64.4,68.4
77,2026-06-28T01:19:29Z,KPHL,2026-06-29,high,30,87.47,2.01,85.4,87.35,90.32,82.8,90.9
78,2026-06-28T01:19:29Z,KPHL,2026-06-29,low,30,66.42,0.86,65.39,66.5,67.22,64.5,68.3
79,2026-06-28T01:19:29Z,KPHX,2026-06-27,high,30,104.91,1.97,102.09,105.3,107.3,100.2,108.6
80,2026-06-28T01:19:29Z,KPHX,2026-06-27,low,30,85.06,0.41,84.49,85.0,85.51,84.2,85.7
81,2026-06-28T01:19:29Z,KPHX,2026-06-28,high,30,99.99,2.01,97.72,99.4,102.94,96.5,104.7
82,2026-06-28T01:19:29Z,KPHX,2026-06-28,low,30,82.43,0.96,81.4,82.45,83.21,78.6,83.8
83,2026-06-28T01:19:29Z,KPHX,2026-06-29,high,30,99.71,2.26,97.19,99.3,102.72,94.5,104.9
84,2026-06-28T01:19:29Z,KPHX,2026-06-29,low,30,80.68,0.9,79.5,80.7,81.74,78.2,82.3
85,2026-06-28T01:19:29Z,KSAT,2026-06-27,high,30,94.54,1.38,92.98,94.55,96.29,91.5,97.3
86,2026-06-28T01:19:29Z,KSAT,2026-06-27,low,30,73.82,0.53,73.39,73.7,74.19,72.6,75.2
87,2026-06-28T01:19:29Z,KSAT,2026-06-28,high,30,95.79,2.35,92.57,95.7,98.8,91.1,99.7
88,2026-06-28T01:19:29Z,KSAT,2026-06-28,low,30,74.45,0.39,73.98,74.5,74.9,73.6,75.3
89,2026-06-28T01:19:29Z,KSAT,2026-06-29,high,30,96.87,2.37,93.85,97.45,99.8,90.7,101.1
90,2026-06-28T01:19:29Z,KSAT,2026-06-29,low,30,74.73,0.67,73.99,74.65,75.5,73.6,76.2
97,2026-06-28T01:19:29Z,KSEA,2026-06-27,high,30,69.58,1.34,67.95,69.75,71.01,66.2,72.6
98,2026-06-28T01:19:29Z,KSEA,2026-06-27,low,30,50.91,0.4,50.47,50.95,51.31,50.0,51.6
99,2026-06-28T01:19:29Z,KSEA,2026-06-28,high,30,66.52,2.24,64.0,66.65,69.51,61.1,69.9
100,2026-06-28T01:19:29Z,KSEA,2026-06-28,low,30,52.85,0.53,52.29,52.95,53.41,51.9,53.9
101,2026-06-28T01:19:29Z,KSEA,2026-06-29,high,30,68.5,2.59,65.15,68.4,71.38,61.3,72.9
102,2026-06-28T01:19:29Z,KSEA,2026-06-29,low,30,53.22,0.67,52.29,53.25,54.01,51.8,54.5
91,2026-06-28T01:19:29Z,KSFO,2026-06-27,high,30,65.36,0.46,64.7,65.3,66.1,64.5,66.3
92,2026-06-28T01:19:29Z,KSFO,2026-06-27,low,30,58.01,0.58,57.29,57.95,58.7,56.8,59.1
93,2026-06-28T01:19:29Z,KSFO,2026-06-28,high,30,71.7,1.35,70.05,71.6,73.1,68.6,75.2
94,2026-06-28T01:19:29Z,KSFO,2026-06-28,low,30,54.13,0.25,53.8,54.1,54.5,53.6,54.7
95,2026-06-28T01:19:29Z,KSFO,2026-06-29,high,30,74.95,3.33,69.95,75.2,78.68,67.2,80.3
96,2026-06-28T01:19:29Z,KSFO,2026-06-29,low,30,56.87,1.2,55.6,56.8,58.84,55.2,59.8
1,2026-06-28T02:27:44Z,KATL,2026-06-27,high,30,90.47,1.43,88.56,90.6,92.11,87.6,93.0
2,2026-06-28T02:27:44Z,KATL,2026-06-27,low,30,73.28,0.27,72.98,73.25,73.6,72.7,73.9
3,2026-06-28T02:27:44Z,KATL,2026-06-28,high,30,90.17,2.75,86.55,90.4,92.8,82.4,95.3
4,2026-06-28T02:27:44Z,KATL,2026-06-28,low,30,74.34,0.54,73.78,74.2,75.02,73.4,75.6
