id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-06-23T01:12:26Z,KATL,2026-06-22,high,30,90.59,1.15,89.45,90.6,92.0,87.3,92.3
2,2026-06-23T01:12:26Z,KATL,2026-06-22,low,30,71.38,0.44,70.88,71.4,71.91,70.6,72.7
3,2026-06-23T01:12:26Z,KATL,2026-06-23,high,30,82.37,1.98,80.3,82.15,84.81,77.8,86.5
4,2026-06-23T01:12:26Z,KATL,2026-06-23,low,30,68.87,1.33,67.13,69.2,70.23,65.1,71.2
5,2026-06-23T01:12:26Z,KATL,2026-06-24,high,30,89.26,2.52,85.34,89.45,91.74,83.4,93.8
6,2026-06-23T01:12:26Z,KATL,2026-06-24,low,30,65.86,1.24,64.69,65.85,67.82,63.1,68.2
7,2026-06-23T01:12:26Z,KAUS,2026-06-22,high,30,94.68,1.19,93.35,94.9,96.03,92.2,97.6
8,2026-06-23T01:12:26Z,KAUS,2026-06-22,low,30,77.93,0.48,77.4,77.8,78.6,76.9,78.8
9,2026-06-23T01:12:26Z,KAUS,2026-06-23,high,30,95.21,1.74,93.2,94.9,97.61,92.1,98.5
10,2026-06-23T01:12:26Z,KAUS,2026-06-23,low,30,76.58,0.49,76.0,76.6,77.31,75.7,77.6
11,2026-06-23T01:12:26Z,KAUS,2026-06-24,high,30,96.37,1.56,94.49,96.5,98.11,92.3,99.6
12,2026-06-23T01:12:26Z,KAUS,2026-06-24,low,30,75.52,0.86,74.2,75.75,76.45,73.9,77.2
13,2026-06-23T01:12:26Z,KBOS,2026-06-22,high,30,77.75,1.53,75.28,77.95,79.21,74.5,80.5
14,2026-06-23T01:12:26Z,KBOS,2026-06-22,low,30,62.22,0.23,61.9,62.25,62.5,61.8,62.7
15,2026-06-23T01:12:26Z,KBOS,2026-06-23,high,30,71.42,2.75,68.49,71.35,74.94,67.3,77.9
16,2026-06-23T01:12:26Z,KBOS,2026-06-23,low,30,63.8,0.89,62.8,63.7,65.14,62.1,65.5
17,2026-06-23T01:12:26Z,KBOS,2026-06-24,high,30,81.56,1.33,79.85,81.35,83.21,78.8,85.0
18,2026-06-23T01:12:26Z,KBOS,2026-06-24,low,30,62.25,0.79,61.2,62.35,63.13,61.0,64.1
91,2026-06-23T01:12:26Z,KDCA,2026-06-22,high,30,92.83,0.79,91.88,92.85,93.9,91.2,94.3
92,2026-06-23T01:12:26Z,KDCA,2026-06-22,low,30,69.67,0.66,68.89,69.7,70.23,68.3,71.5
93,2026-06-23T01:12:26Z,KDCA,2026-06-23,high,30,76.52,2.76,73.16,76.6,80.28,72.2,81.6
94,2026-06-23T01:12:26Z,KDCA,2026-06-23,low,30,66.65,2.16,64.46,66.8,69.15,60.9,71.7
95,2026-06-23T01:12:26Z,KDCA,2026-06-24,high,30,83.31,1.79,80.88,83.25,85.82,79.6,86.8
96,2026-06-23T01:12:26Z,KDCA,2026-06-24,low,30,64.07,1.4,62.49,64.05,65.83,60.9,67.2
25,2026-06-23T01:12:26Z,KDEN,2026-06-22,high,30,87.95,1.23,86.4,88.15,89.3,84.3,89.5
26,2026-06-23T01:12:26Z,KDEN,2026-06-22,low,30,57.2,0.45,56.69,57.15,57.83,56.5,58.1
27,2026-06-23T01:12:26Z,KDEN,2026-06-23,high,30,85.25,4.32,81.36,86.2,89.75,72.2,92.7
28,2026-06-23T01:12:26Z,KDEN,2026-06-23,low,30,61.57,1.53,59.87,61.6,63.11,57.4,64.1
29,2026-06-23T01:12:26Z,KDEN,2026-06-24,high,30,89.59,2.42,86.38,89.7,92.61,84.5,94.5
