id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-07-17T01:05:31Z,KATL,2026-07-16,high,30,87.86,0.82,86.7,87.9,88.83,86.2,89.5
2,2026-07-17T01:05:31Z,KATL,2026-07-16,low,30,72.14,0.24,71.9,72.15,72.31,71.6,72.8
3,2026-07-17T01:05:31Z,KATL,2026-07-17,high,30,91.78,1.51,89.89,91.85,94.1,89.4,94.8
4,2026-07-17T01:05:31Z,KATL,2026-07-17,low,30,73.8,0.49,73.1,73.8,74.41,73.0,75.1
5,2026-07-17T01:05:31Z,KATL,2026-07-18,high,30,93.13,1.56,91.29,93.4,95.22,89.5,95.7
6,2026-07-17T01:05:31Z,KATL,2026-07-18,low,30,75.28,0.54,74.88,75.2,75.71,73.9,77.2
7,2026-07-17T01:05:31Z,KAUS,2026-07-16,high,30,89.96,1.47,87.78,90.25,91.83,86.8,92.5
8,2026-07-17T01:05:31Z,KAUS,2026-07-16,low,30,73.35,0.43,72.96,73.3,73.83,72.3,74.3
9,2026-07-17T01:05:31Z,KAUS,2026-07-17,high,30,93.72,1.65,91.28,93.95,95.73,89.7,96.7
10,2026-07-17T01:05:31Z,KAUS,2026-07-17,low,30,75.31,0.44,74.79,75.3,76.0,74.3,76.3
11,2026-07-17T01:05:31Z,KAUS,2026-07-18,high,30,95.17,2.86,91.45,95.7,98.52,89.5,99.4
12,2026-07-17T01:05:31Z,KAUS,2026-07-18,low,30,75.47,0.58,74.96,75.35,76.31,74.2,76.5
13,2026-07-17T01:05:31Z,KBOS,2026-07-16,high,30,86.59,0.75,85.7,86.6,87.72,85.3,88.1
14,2026-07-17T01:05:31Z,KBOS,2026-07-16,low,30,69.37,0.4,68.89,69.4,69.82,68.4,70.4
15,2026-07-17T01:05:31Z,KBOS,2026-07-17,high,30,83.49,2.17,80.74,83.8,86.02,78.0,87.3
16,2026-07-17T01:05:31Z,KBOS,2026-07-17,low,30,65.89,1.02,64.86,65.85,66.8,63.5,68.7
17,2026-07-17T01:05:31Z,KBOS,2026-07-18,high,30,86.35,2.7,82.89,86.6,90.06,80.7,91.0
18,2026-07-17T01:05:31Z,KBOS,2026-07-18,low,30,65.67,1.14,64.3,65.5,67.31,62.7,67.6
91,2026-07-17T01:05:31Z,KDCA,2026-07-16,high,30,98.46,0.96,97.29,98.8,99.5,96.4,100.1
