id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-09-02T00:58:41Z,KATL,2026-09-01,high,30,96.82,0.54,96.19,96.85,97.51,95.2,97.8
2,2026-09-02T00:58:41Z,KATL,2026-09-01,low,30,75.26,0.27,74.99,75.3,75.6,74.8,75.8
3,2026-09-02T00:58:41Z,KATL,2026-09-02,high,30,97.0,1.68,94.89,97.2,98.63,94.3,100.7
4,2026-09-02T00:58:41Z,KATL,2026-09-02,low,30,76.94,0.44,76.3,76.95,77.51,76.1,77.8
5,2026-09-02T00:58:41Z,KATL,2026-09-03,high,30,96.68,1.77,94.4,96.35,98.81,93.6,101.1
6,2026-09-02T00:58:41Z,KATL,2026-09-03,low,30,77.14,0.73,76.19,77.2,77.81,75.1,78.6
7,2026-09-02T00:58:41Z,KAUS,2026-09-01,high,30,99.54,1.42,97.59,99.7,101.01,95.9,102.6
8,2026-09-02T00:58:41Z,KAUS,2026-09-01,low,30,78.92,0.23,78.6,78.9,79.21,78.6,79.4
9,2026-09-02T00:58:41Z,KAUS,2026-09-02,high,30,99.08,1.35,97.13,99.15,100.64,95.8,101.4
10,2026-09-02T00:58:41Z,KAUS,2026-09-02,low,30,81.22,1.44,79.94,81.25,82.74,76.8,84.1
11,2026-09-02T00:58:41Z,KAUS,2026-09-03,high,30,97.36,3.59,93.49,98.1,99.93,85.5,103.2
12,2026-09-02T00:58:41Z,KAUS,2026-09-03,low,30,79.61,1.07,78.38,79.7,80.86,76.9,81.8
13,2026-09-02T00:58:41Z,KBOS,2026-09-01,high,30,68.58,1.14,67.67,68.3,69.74,67.1,72.9
14,2026-09-02T00:58:41Z,KBOS,2026-09-01,low,30,63.95,1.24,62.29,63.85,65.61,61.9,66.2
15,2026-09-02T00:58:41Z,KBOS,2026-09-02,high,30,73.92,1.73,71.39,74.25,75.71,69.6,76.3
16,2026-09-02T00:58:41Z,KBOS,2026-09-02,low,30,63.72,1.0,62.77,63.85,65.21,61.1,65.5
17,2026-09-02T00:58:41Z,KBOS,2026-09-03,high,30,81.53,3.18,77.33,82.1,85.38,75.2,87.5
18,2026-09-02T00:58:41Z,KBOS,2026-09-03,low,30,64.94,1.64,62.99,64.7,67.25,61.9,68.7
91,2026-09-02T00:58:41Z,KDCA,2026-09-01,high,30,96.32,0.7,95.28,96.4,97.02,94.5,97.6
92,2026-09-02T00:58:41Z,KDCA,2026-09-01,low,30,73.04,0.4,72.6,73.1,73.41,72.0,74.0
93,2026-09-02T00:58:41Z,KDCA,2026-09-02,high,30,93.56,4.62,88.73,94.65,98.22,81.3,99.4
94,2026-09-02T00:58:41Z,KDCA,2026-09-02,low,30,76.55,1.44,74.82,76.65,78.03,72.0,79.0
95,2026-09-02T00:58:41Z,KDCA,2026-09-03,high,30,97.81,1.74,95.99,98.0,99.65,92.3,100.7
96,2026-09-02T00:58:41Z,KDCA,2026-09-03,low,30,74.3,1.75,72.56,74.25,76.01,70.4,80.6
25,2026-09-02T00:58:41Z,KDEN,2026-09-01,high,30,85.74,0.71,84.7,85.85,86.5,84.0,87.2
