id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-08-18T01:44:24Z,KATL,2026-08-17,high,30,98.59,0.67,97.89,98.4,99.52,97.6,100.2
2,2026-08-18T01:44:24Z,KATL,2026-08-17,low,30,78.29,0.2,78.0,78.3,78.5,77.9,78.6
3,2026-08-18T01:44:24Z,KATL,2026-08-18,high,30,94.76,1.89,92.54,95.05,97.12,89.6,98.3
4,2026-08-18T01:44:24Z,KATL,2026-08-18,low,30,76.77,0.87,75.81,76.95,77.61,74.4,77.9
5,2026-08-18T01:44:24Z,KATL,2026-08-19,high,30,95.72,2.05,93.36,95.0,98.3,91.2,101.1
6,2026-08-18T01:44:24Z,KATL,2026-08-19,low,30,72.58,1.55,71.05,72.2,74.81,69.3,75.5
7,2026-08-18T01:44:24Z,KAUS,2026-08-17,high,30,104.62,1.98,102.11,104.6,107.41,101.0,107.5
8,2026-08-18T01:44:24Z,KAUS,2026-08-17,low,30,76.41,0.32,76.0,76.5,76.8,75.6,77.0
9,2026-08-18T01:44:24Z,KAUS,2026-08-18,high,30,104.06,2.68,100.27,104.55,107.52,99.3,108.5
10,2026-08-18T01:44:24Z,KAUS,2026-08-18,low,30,78.3,0.58,77.39,78.4,78.9,76.9,79.5
11,2026-08-18T01:44:24Z,KAUS,2026-08-19,high,30,103.89,2.7,100.26,104.2,107.11,98.8,108.4
12,2026-08-18T01:44:24Z,KAUS,2026-08-19,low,30,79.05,0.77,77.89,79.2,79.9,77.5,80.5
13,2026-08-18T01:44:24Z,KBOS,2026-08-17,high,30,77.22,2.08,73.87,77.85,79.71,71.8,80.3
14,2026-08-18T01:44:24Z,KBOS,2026-08-17,low,30,66.63,0.76,65.3,66.8,67.42,64.6,67.6
15,2026-08-18T01:44:24Z,KBOS,2026-08-18,high,30,78.11,1.91,75.64,78.2,80.81,73.1,81.0
16,2026-08-18T01:44:24Z,KBOS,2026-08-18,low,30,67.6,0.47,66.99,67.55,68.21,66.6,68.5
17,2026-08-18T01:44:24Z,KBOS,2026-08-19,high,30,87.35,1.38,86.16,87.15,88.95,83.7,90.5
18,2026-08-18T01:44:24Z,KBOS,2026-08-19,low,30,67.21,0.64,66.4,67.2,67.84,65.6,68.4
97,2026-08-18T01:44:24Z,KDCA,2026-08-17,high,30,92.5,1.0,91.49,92.25,93.81,90.1,94.4
98,2026-08-18T01:44:24Z,KDCA,2026-08-17,low,30,73.84,0.43,73.49,73.8,74.4,72.9,75.0
99,2026-08-18T01:44:24Z,KDCA,2026-08-18,high,30,90.45,1.48,88.14,90.55,92.04,87.2,93.0
100,2026-08-18T01:44:24Z,KDCA,2026-08-18,low,30,75.72,0.5,75.1,75.65,76.31,74.8,76.7
101,2026-08-18T01:44:24Z,KDCA,2026-08-19,high,30,92.3,1.79,89.79,92.6,94.21,87.4,95.4
