id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-09-10T00:03:58Z,KATL,2026-09-09,high,30,91.99,1.19,90.86,91.95,93.42,88.9,94.2
2,2026-09-10T00:03:58Z,KATL,2026-09-09,low,30,70.31,0.27,69.98,70.25,70.6,69.8,70.9
3,2026-09-10T00:03:58Z,KATL,2026-09-10,high,30,91.47,2.51,88.48,90.95,94.19,85.8,97.5
4,2026-09-10T00:03:58Z,KATL,2026-09-10,low,30,72.21,0.36,71.7,72.25,72.61,71.2,72.8
5,2026-09-10T00:03:58Z,KATL,2026-09-11,high,30,91.61,2.22,88.5,91.55,93.9,86.7,96.4
6,2026-09-10T00:03:58Z,KATL,2026-09-11,low,30,74.08,0.75,73.29,73.95,75.01,72.5,75.9
7,2026-09-10T00:03:58Z,KAUS,2026-09-09,high,30,97.33,1.07,95.79,97.2,98.51,95.5,100.1
8,2026-09-10T00:03:58Z,KAUS,2026-09-09,low,30,79.66,0.21,79.5,79.6,79.9,79.3,80.3
9,2026-09-10T00:03:58Z,KAUS,2026-09-10,high,30,95.83,1.38,93.98,95.9,97.61,92.3,97.8
10,2026-09-10T00:03:58Z,KAUS,2026-09-10,low,30,79.08,0.45,78.68,79.0,79.51,78.0,80.2
11,2026-09-10T00:03:58Z,KAUS,2026-09-11,high,30,97.36,1.76,95.29,97.05,100.0,93.8,100.8
12,2026-09-10T00:03:58Z,KAUS,2026-09-11,low,30,78.59,0.67,77.78,78.75,79.24,77.1,80.2
13,2026-09-10T00:03:58Z,KBOS,2026-09-09,high,30,77.22,1.05,75.89,77.2,78.42,75.0,79.9
14,2026-09-10T00:03:58Z,KBOS,2026-09-09,low,30,62.74,0.3,62.39,62.8,63.01,62.1,63.5
15,2026-09-10T00:03:58Z,KBOS,2026-09-10,high,30,85.7,2.12,83.14,86.15,88.02,79.5,89.1
16,2026-09-10T00:03:58Z,KBOS,2026-09-10,low,30,70.31,1.47,69.43,70.1,71.88,65.8,73.6
17,2026-09-10T00:03:58Z,KBOS,2026-09-11,high,30,76.33,1.72,73.96,76.45,78.51,72.3,78.9
18,2026-09-10T00:03:58Z,KBOS,2026-09-11,low,30,64.06,1.58,62.14,64.45,65.67,60.0,66.7
97,2026-09-10T00:03:58Z,KDCA,2026-09-09,high,30,89.07,0.76,88.36,89.05,89.93,87.4,90.8
98,2026-09-10T00:03:58Z,KDCA,2026-09-09,low,30,67.26,0.49,66.59,67.3,67.92,66.4,68.1
99,2026-09-10T00:03:58Z,KDCA,2026-09-10,high,30,88.56,3.24,84.9,88.55,92.6,79.3,94.0
100,2026-09-10T00:03:58Z,KDCA,2026-09-10,low,30,72.43,1.2,70.99,72.5,73.84,70.2,75.3
101,2026-09-10T00:03:58Z,KDCA,2026-09-11,high,30,80.81,3.57,75.49,81.85,84.52,72.9,85.9
102,2026-09-10T00:03:58Z,KDCA,2026-09-11,low,30,69.84,1.64,67.29,69.65,72.21,66.3,72.6
25,2026-09-10T00:03:58Z,KDEN,2026-09-09,high,30,80.12,2.1,77.09,80.75,82.6,76.1,82.7
26,2026-09-10T00:03:58Z,KDEN,2026-09-09,low,30,59.75,0.91,58.59,59.9,60.82,57.8,61.1
27,2026-09-10T00:03:58Z,KDEN,2026-09-10,high,30,86.8,1.24,85.1,87.1,88.2,84.0,88.6
28,2026-09-10T00:03:58Z,KDEN,2026-09-10,low,30,61.43,1.12,59.49,61.7,62.53,59.3,63.3
29,2026-09-10T00:03:58Z,KDEN,2026-09-11,high,30,88.27,1.74,86.54,88.35,90.3,84.6,91.0
30,2026-09-10T00:03:58Z,KDEN,2026-09-11,low,30,63.74,1.05,62.29,63.7,65.16,62.2,65.8
19,2026-09-10T00:03:58Z,KDFW,2026-09-09,high,30,100.48,1.25,99.08,100.35,101.94,97.9,103.1
20,2026-09-10T00:03:58Z,KDFW,2026-09-09,low,30,83.8,0.2,83.6,83.8,84.1,83.3,84.1
21,2026-09-10T00:03:58Z,KDFW,2026-09-10,high,30,99.55,1.41,97.46,99.8,101.21,96.4,102.4
22,2026-09-10T00:03:58Z,KDFW,2026-09-10,low,30,83.64,0.92,82.97,83.7,84.54,80.3,85.7
23,2026-09-10T00:03:58Z,KDFW,2026-09-11,high,30,97.28,2.88,93.7,98.15,99.36,88.4,101.2
24,2026-09-10T00:03:58Z,KDFW,2026-09-11,low,30,82.46,1.74,80.67,83.05,84.11,76.4,84.9
31,2026-09-10T00:03:58Z,KIAH,2026-09-09,high,30,92.74,0.61,91.8,92.85,93.31,91.2,93.9
32,2026-09-10T00:03:58Z,KIAH,2026-09-09,low,30,79.95,0.24,79.6,79.95,80.3,79.5,80.4
33,2026-09-10T00:03:58Z,KIAH,2026-09-10,high,30,94.28,1.37,92.57,94.35,95.62,92.1,98.1
34,2026-09-10T00:03:58Z,KIAH,2026-09-10,low,30,80.65,0.54,80.17,80.6,81.21,79.3,82.1
35,2026-09-10T00:03:58Z,KIAH,2026-09-11,high,30,95.05,1.59,92.9,95.3,97.22,91.3,98.0
36,2026-09-10T00:03:58Z,KIAH,2026-09-11,low,30,80.72,0.47,80.19,80.7,81.21,79.6,81.9
37,2026-09-10T00:03:58Z,KLAS,2026-09-09,high,30,101.03,0.38,100.59,101.1,101.4,100.2,101.8
38,2026-09-10T00:03:58Z,KLAS,2026-09-09,low,30,82.98,0.18,82.79,83.0,83.2,82.6,83.3
39,2026-09-10T00:03:58Z,KLAS,2026-09-10,high,30,103.43,0.71,102.59,103.4,104.41,102.0,104.7
40,2026-09-10T00:03:58Z,KLAS,2026-09-10,low,30,85.87,0.91,84.9,85.8,86.76,83.9,88.4
41,2026-09-10T00:03:58Z,KLAS,2026-09-11,high,30,100.37,1.02,99.18,100.2,101.64,98.5,102.7
42,2026-09-10T00:03:58Z,KLAS,2026-09-11,low,30,85.58,1.08,84.19,85.45,87.2,83.5,87.6
43,2026-09-10T00:03:58Z,KLAX,2026-09-09,high,30,93.8,0.62,93.09,93.85,94.5,92.3,95.3
44,2026-09-10T00:03:58Z,KLAX,2026-09-09,low,30,81.27,0.3,80.89,81.2,81.7,80.8,82.0
45,2026-09-10T00:03:58Z,KLAX,2026-09-10,high,30,86.98,0.93,85.89,87.15,88.1,84.9,88.6
46,2026-09-10T00:03:58Z,KLAX,2026-09-10,low,30,78.65,0.84,77.59,78.55,80.0,77.2,80.2
47,2026-09-10T00:03:58Z,KLAX,2026-09-11,high,30,82.76,1.09,81.39,82.75,84.31,80.7,85.0
48,2026-09-10T00:03:58Z,KLAX,2026-09-11,low,30,74.7,0.96,73.59,74.6,76.13,72.7,76.7
49,2026-09-10T00:03:58Z,KMIA,2026-09-09,high,30,88.32,0.45,87.69,88.4,88.9,87.4,89.1
50,2026-09-10T00:03:58Z,KMIA,2026-09-09,low,30,83.92,0.39,83.7,84.0,84.21,82.5,84.5
51,2026-09-10T00:03:58Z,KMIA,2026-09-10,high,30,88.73,0.83,87.6,88.75,89.61,86.8,90.4
52,2026-09-10T00:03:58Z,KMIA,2026-09-10,low,30,84.01,0.37,83.7,84.0,84.32,82.7,84.8
53,2026-09-10T00:03:58Z,KMIA,2026-09-11,high,30,88.93,0.74,88.19,88.95,89.91,86.4,90.2
54,2026-09-10T00:03:58Z,KMIA,2026-09-11,low,30,83.6,0.34,83.1,83.6,84.01,83.0,84.3
55,2026-09-10T00:03:58Z,KMSY,2026-09-09,high,30,91.28,1.56,88.99,91.25,93.14,88.2,94.1
56,2026-09-10T00:03:58Z,KMSY,2026-09-09,low,30,76.83,0.23,76.49,76.85,77.1,76.4,77.3
57,2026-09-10T00:03:58Z,KMSY,2026-09-10,high,30,90.15,2.07,87.38,90.75,91.91,82.7,92.6
58,2026-09-10T00:03:58Z,KMSY,2026-09-10,low,30,76.12,0.66,75.47,76.3,77.01,74.3,77.3
59,2026-09-10T00:03:58Z,KMSY,2026-09-11,high,30,90.86,1.83,88.72,90.65,93.1,87.5,95.3
60,2026-09-10T00:03:58Z,KMSY,2026-09-11,low,30,74.38,0.75,73.58,74.4,75.12,72.3,76.3
61,2026-09-10T00:03:58Z,KNYC,2026-09-09,high,30,83.97,0.95,82.8,84.0,85.05,82.1,86.5
62,2026-09-10T00:03:58Z,KNYC,2026-09-09,low,30,70.73,0.2,70.49,70.7,71.0,70.3,71.2
63,2026-09-10T00:03:58Z,KNYC,2026-09-10,high,30,88.85,2.12,86.19,89.25,91.17,82.9,92.0
64,2026-09-10T00:03:58Z,KNYC,2026-09-10,low,30,74.28,0.95,73.08,74.5,75.41,71.4,75.6
65,2026-09-10T00:03:58Z,KNYC,2026-09-11,high,30,81.4,1.81,79.74,81.45,83.32,76.5,84.5
