id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-07-23T01:04:54Z,KATL,2026-07-22,high,30,89.21,1.17,87.88,89.3,90.81,87.1,91.7
2,2026-07-23T01:04:54Z,KATL,2026-07-22,low,30,73.88,0.28,73.5,73.9,74.11,73.4,74.6
3,2026-07-23T01:04:54Z,KATL,2026-07-23,high,30,91.24,2.17,88.38,91.35,93.94,85.5,94.8
4,2026-07-23T01:04:54Z,KATL,2026-07-23,low,30,74.06,0.41,73.59,74.1,74.41,73.2,75.1
5,2026-07-23T01:04:54Z,KATL,2026-07-24,high,30,87.66,2.81,85.06,87.55,90.97,78.3,93.4
6,2026-07-23T01:04:54Z,KATL,2026-07-24,low,30,74.61,1.79,72.51,75.1,75.92,69.6,76.7
7,2026-07-23T01:04:54Z,KAUS,2026-07-22,high,30,105.58,1.52,103.71,105.5,107.41,102.3,108.6
8,2026-07-23T01:04:54Z,KAUS,2026-07-22,low,30,81.99,0.4,81.5,81.9,82.41,81.3,83.0
9,2026-07-23T01:04:54Z,KAUS,2026-07-23,high,30,102.41,2.57,98.68,102.95,105.4,95.8,106.2
10,2026-07-23T01:04:54Z,KAUS,2026-07-23,low,30,82.53,1.27,80.95,82.7,84.12,79.8,84.8
11,2026-07-23T01:04:54Z,KAUS,2026-07-24,high,30,97.01,2.04,94.09,96.9,99.31,92.2,101.0
12,2026-07-23T01:04:54Z,KAUS,2026-07-24,low,30,78.28,1.5,76.77,78.4,80.23,73.8,81.0
25,2026-07-23T01:04:54Z,KDEN,2026-07-22,high,30,94.48,1.63,92.35,94.95,96.3,91.2,97.0
26,2026-07-23T01:04:54Z,KDEN,2026-07-22,low,30,67.77,1.06,66.28,67.95,68.81,64.8,69.6
27,2026-07-23T01:04:54Z,KDEN,2026-07-23,high,30,88.72,2.31,85.75,88.95,91.32,84.0,93.3
28,2026-07-23T01:04:54Z,KDEN,2026-07-23,low,30,66.26,1.14,64.9,66.4,67.66,63.5,68.8
29,2026-07-23T01:04:54Z,KDEN,2026-07-24,high,30,94.32,1.2,92.88,94.2,96.01,92.4,97.8
30,2026-07-23T01:04:54Z,KDEN,2026-07-24,low,30,68.21,1.75,66.2,68.4,70.8,63.5,71.1
19,2026-07-23T01:04:54Z,KDFW,2026-07-22,high,30,106.54,1.42,104.59,106.7,108.2,103.4,108.6
20,2026-07-23T01:04:54Z,KDFW,2026-07-22,low,30,88.59,0.5,88.08,88.6,89.3,87.5,89.4
21,2026-07-23T01:04:54Z,KDFW,2026-07-23,high,30,100.64,3.02,96.97,101.45,104.06,93.7,106.1
22,2026-07-23T01:04:54Z,KDFW,2026-07-23,low,30,82.84,1.39,81.26,82.7,84.48,80.0,85.4
