id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-08-25T01:45:35Z,KATL,2026-08-24,high,30,90.6,0.92,89.29,90.45,92.0,89.1,92.4
2,2026-08-25T01:45:35Z,KATL,2026-08-24,low,30,72.57,0.4,72.18,72.65,73.1,71.5,73.4
3,2026-08-25T01:45:35Z,KATL,2026-08-25,high,30,94.73,2.31,92.66,94.95,97.22,87.3,98.7
4,2026-08-25T01:45:35Z,KATL,2026-08-25,low,30,71.47,0.83,70.27,71.5,72.41,69.7,73.2
5,2026-08-25T01:45:35Z,KATL,2026-08-26,high,30,92.54,2.18,90.04,92.6,95.52,86.9,96.6
6,2026-08-25T01:45:35Z,KATL,2026-08-26,low,30,73.24,1.13,71.94,73.4,74.5,70.6,75.5
7,2026-08-25T01:45:35Z,KAUS,2026-08-24,high,30,105.4,1.82,102.99,106.2,107.5,101.4,108.3
8,2026-08-25T01:45:35Z,KAUS,2026-08-24,low,30,78.35,0.52,77.79,78.35,78.84,77.3,79.6
9,2026-08-25T01:45:35Z,KAUS,2026-08-25,high,30,105.37,3.5,100.76,106.0,109.01,95.8,109.5
10,2026-08-25T01:45:35Z,KAUS,2026-08-25,low,30,78.01,0.6,77.18,78.1,78.72,76.9,79.1
11,2026-08-25T01:45:35Z,KAUS,2026-08-26,high,30,105.05,2.38,101.98,105.3,107.92,99.3,109.2
12,2026-08-25T01:45:35Z,KAUS,2026-08-26,low,30,78.98,1.18,77.35,79.1,80.14,76.2,81.8
13,2026-08-25T01:45:35Z,KBOS,2026-08-24,high,30,81.89,0.57,81.19,81.9,82.51,80.5,83.2
14,2026-08-25T01:45:35Z,KBOS,2026-08-24,low,30,64.8,0.34,64.39,64.7,65.2,64.2,65.6
15,2026-08-25T01:45:35Z,KBOS,2026-08-25,high,30,80.07,1.26,78.1,80.1,81.34,78.0,83.5
16,2026-08-25T01:45:35Z,KBOS,2026-08-25,low,30,65.33,0.56,64.59,65.4,66.03,64.5,66.4
