id,run_at,icao,forecast_date,model_name,high_f,low_f
1,2026-09-13T01:22:05Z,KATL,2026-09-12,gfs_seamless,84.0,73.0
2,2026-09-13T01:22:05Z,KATL,2026-09-13,gfs_seamless,90.2,72.3
3,2026-09-13T01:22:05Z,KATL,2026-09-14,gfs_seamless,97.8,69.6
4,2026-09-13T01:22:05Z,KATL,2026-09-12,icon_global,81.6,71.9
5,2026-09-13T01:22:05Z,KATL,2026-09-13,icon_global,89.7,72.7
6,2026-09-13T01:22:05Z,KATL,2026-09-14,icon_global,92.2,69.7
7,2026-09-13T01:22:05Z,KATL,2026-09-12,gem_global,81.0,70.8
8,2026-09-13T01:22:05Z,KATL,2026-09-13,gem_global,85.7,69.6
9,2026-09-13T01:22:05Z,KATL,2026-09-14,gem_global,90.7,65.8
10,2026-09-13T01:22:05Z,KATL,2026-09-12,ecmwf_ifs025,84.5,71.6
11,2026-09-13T01:22:05Z,KATL,2026-09-13,ecmwf_ifs025,89.9,71.0
12,2026-09-13T01:22:05Z,KATL,2026-09-14,ecmwf_ifs025,92.8,69.6
13,2026-09-13T01:22:05Z,KATL,2026-09-12,ukmo_global_deterministic_10km,81.7,72.3
14,2026-09-13T01:22:05Z,KATL,2026-09-13,ukmo_global_deterministic_10km,90.2,74.2
15,2026-09-13T01:22:05Z,KATL,2026-09-14,ukmo_global_deterministic_10km,91.8,74.2
16,2026-09-13T01:22:05Z,KAUS,2026-09-12,gfs_seamless,99.5,77.8
17,2026-09-13T01:22:05Z,KAUS,2026-09-13,gfs_seamless,98.3,79.5
18,2026-09-13T01:22:05Z,KAUS,2026-09-14,gfs_seamless,102.9,75.8
19,2026-09-13T01:22:05Z,KAUS,2026-09-12,icon_global,97.6,78.6
20,2026-09-13T01:22:05Z,KAUS,2026-09-13,icon_global,98.7,78.9
21,2026-09-13T01:22:05Z,KAUS,2026-09-14,icon_global,95.5,78.3
22,2026-09-13T01:22:05Z,KAUS,2026-09-12,gem_global,98.3,78.8
23,2026-09-13T01:22:05Z,KAUS,2026-09-13,gem_global,99.1,79.2
24,2026-09-13T01:22:05Z,KAUS,2026-09-14,gem_global,98.3,78.5
25,2026-09-13T01:22:05Z,KAUS,2026-09-12,ecmwf_ifs025,96.3,78.6
26,2026-09-13T01:22:05Z,KAUS,2026-09-13,ecmwf_ifs025,94.9,78.2
27,2026-09-13T01:22:05Z,KAUS,2026-09-14,ecmwf_ifs025,98.0,76.9
28,2026-09-13T01:22:05Z,KAUS,2026-09-12,ukmo_global_deterministic_10km,98.7,78.7
29,2026-09-13T01:22:05Z,KAUS,2026-09-13,ukmo_global_deterministic_10km,98.1,79.5
30,2026-09-13T01:22:05Z,KAUS,2026-09-14,ukmo_global_deterministic_10km,98.2,79.3
31,2026-09-13T01:22:05Z,KBOS,2026-09-12,gfs_seamless,71.2,51.7
32,2026-09-13T01:22:05Z,KBOS,2026-09-13,gfs_seamless,69.9,62.3
33,2026-09-13T01:22:05Z,KBOS,2026-09-14,gfs_seamless,72.0,59.9
34,2026-09-13T01:22:05Z,KBOS,2026-09-12,icon_global,72.1,54.6
35,2026-09-13T01:22:05Z,KBOS,2026-09-13,icon_global,69.8,62.2
36,2026-09-13T01:22:05Z,KBOS,2026-09-14,icon_global,71.6,57.6
37,2026-09-13T01:22:05Z,KBOS,2026-09-12,gem_global,69.3,56.4
