id,run_at,icao,forecast_date,model_name,high_f,low_f
1,2026-06-01T01:24:39Z,KATL,2026-05-31,gfs_seamless,73.8,65.4
2,2026-06-01T01:24:39Z,KATL,2026-06-01,gfs_seamless,85.4,64.8
3,2026-06-01T01:24:39Z,KATL,2026-06-02,gfs_seamless,79.8,60.1
4,2026-06-01T01:24:39Z,KATL,2026-05-31,icon_global,72.4,64.3
5,2026-06-01T01:24:39Z,KATL,2026-06-01,icon_global,88.8,64.3
6,2026-06-01T01:24:39Z,KATL,2026-06-02,icon_global,84.1,67.8
7,2026-06-01T01:24:39Z,KATL,2026-05-31,gem_global,72.0,65.8
8,2026-06-01T01:24:39Z,KATL,2026-06-01,gem_global,83.6,64.9
9,2026-06-01T01:24:39Z,KATL,2026-06-02,gem_global,74.0,63.4
10,2026-06-01T01:24:39Z,KATL,2026-05-31,ecmwf_ifs025,73.0,65.8
11,2026-06-01T01:24:39Z,KATL,2026-06-01,ecmwf_ifs025,83.3,64.5
12,2026-06-01T01:24:39Z,KATL,2026-06-02,ecmwf_ifs025,80.2,67.1
13,2026-06-01T01:24:39Z,KATL,2026-05-31,ukmo_global_deterministic_10km,75.8,67.4
14,2026-06-01T01:24:39Z,KATL,2026-06-01,ukmo_global_deterministic_10km,88.4,67.7
15,2026-06-01T01:24:39Z,KATL,2026-06-02,ukmo_global_deterministic_10km,77.9,66.3
16,2026-06-01T01:24:39Z,KAUS,2026-05-31,gfs_seamless,89.5,70.0
17,2026-06-01T01:24:39Z,KAUS,2026-06-01,gfs_seamless,91.4,74.6
18,2026-06-01T01:24:39Z,KAUS,2026-06-02,gfs_seamless,93.7,71.2
19,2026-06-01T01:24:39Z,KAUS,2026-05-31,icon_global,88.5,73.0
20,2026-06-01T01:24:39Z,KAUS,2026-06-01,icon_global,92.9,73.9
21,2026-06-01T01:24:39Z,KAUS,2026-06-02,icon_global,91.9,74.7
22,2026-06-01T01:24:39Z,KAUS,2026-05-31,gem_global,88.1,70.2
23,2026-06-01T01:24:39Z,KAUS,2026-06-01,gem_global,90.3,73.2
